,ci_hijo,nombre_hijo,edad_hijo,ci_persona
298,9606931282,Shari Kim,6,4240871697
299,7193843133,Thomas Boone,5,6714411573
300,4642701727,Bradley Clements,4,6538315290
301,9418566943,Dr. William Chan,1,9619610994
302,4868983825,Natasha Reed,2,2497699386
303,1160860176,Christopher Butler,2,2550644279
304,1588902439,Colleen Gilbert,0,5756917717
305,6788549671,Eugene Hunter,1,5267612869
306,4311296461,Robert Williams,0,5739857613
307,4856924738,Eddie Hamilton,0,7822577980
308,2909002258,Chelsea Sanchez,7,1885946385
309,0971697757,Nicholas Mullen,0,7285426682
310,5015060798,Tracey Washington,0,3542400967
311,6486798751,Tracy Nguyen,3,2302826032
312,7151953086,Kimberly Ramirez,7,7285228153
313,8225514015,Joseph Elliott,3,7123373466
314,6448673076,Ricky Lewis,8,4616256298
315,5486557107,Virginia Garcia,0,6558861576
316,0804835159,Spencer Henderson,6,6350353120
317,5571880221,Anna Hayes,4,9014192371
318,6547636402,Melissa Ingram,2,4783945395
319,5695825036,Robert Lopez,5,6385702930
320,0961768038,Dr. Daniel Fowler,1,1962184300
321,5703932253,Steven Rhodes,6,5470595781
322,4130401182,Alexander Robinson,1,0044539991
323,9999411952,Alexander Garcia,6,6802434750
324,7652934731,Vickie Figueroa,3,3076102671
325,4413177906,Antonio Farley,6,9975066597
326,8014500677,Anthony Moore,1,7497788708
327,0514543642,Amber Hill,1,8113810613
328,8826575832,Tony Hardin,6,9273199467
329,0710429842,John Villa,0,7407756166
330,2037549041,Evan Brown,1,2293737451
331,1671490884,Deborah Beard,2,1226617779
332,7160639661,Dana Martinez,9,2029440973
333,0777096612,Charles Dean,8,1999146160
334,5499907098,Karen Gonzalez,2,5981165815
335,9384332053,Timothy Bryant,1,1067523906
336,5903368368,Duane Gibson,0,8048954720
337,2247450140,Elizabeth Ponce,8,0603058280
338,8095173411,Chad Santos,8,7898928785
339,2083622791,James Holloway,0,3856023114
340,3504112044,Chad Case,5,9083488785
341,0767483356,Alexis Melton PhD,3,2064657649
342,3136051548,Travis Johnson,0,5936697251
343,2227442665,Lindsey Lewis,2,0026282159
344,9145524245,Taylor Costa,2,6363755473
345,3866851336,Chloe Jones,1,2032716909
346,8192795285,Stephanie Romero,3,7287607474
347,0321999243,Luis Walker,2,5416060006
348,7225550339,Victoria Curtis,8,1524252662
349,8249602537,Daniel Ellis,4,8589332562
350,3674980364,Chase Mccullough,7,5832098933
351,7100045449,Alexander Brown,7,4755074919
352,3239448382,Robert Mills,2,4911745027
353,2059275346,Katelyn Wagner,0,2046205997
354,9880733273,James Moore,2,0291862703
355,7978653352,Philip Jones,8,7334131483
356,5006165939,Michael Carter,3,8695077748
357,7262900394,Andrew Thomas,1,5960949111
358,1367371221,Christopher Robertson,1,1967078592
359,1837083019,Steven Dickson,2,5111629539
360,7953255782,Kathy Meyer,1,3902113287
361,4512307390,Michele Johnson,8,4948762786
362,6256280686,Andrea Dougherty,9,7849957294
363,5110190338,Dale Banks,6,0547447924
364,9307345495,Joshua Martin,6,8462520403
365,8584503065,Michael Valentine,4,1789971709
366,2479948050,Jennifer Campbell,0,3052383566
367,0309964253,Jeffery Saunders,4,7874759812
368,6164795075,Christopher Chang,6,3810874768
369,7710049962,Jeremy Fisher,9,8940349436
370,8753255963,Rhonda Shepherd,7,2960961888
371,4266108928,Paul Taylor,3,5136976596
372,2622161145,Karen Barnes,9,0300270596
373,8152329548,Lindsay Kelley,2,3201917631
374,1158595104,Kathleen English,2,8516003524
375,9140776931,Matthew Jennings,3,6654222817
376,9757154826,Brandon Anderson,6,0001437871
377,9571008292,Emily Rangel,5,1896839898
378,6534615392,Briana Stone,3,6886763423
379,4738065383,Erica Ray,2,9911911541
380,5175263955,Laurie Barnes,8,6531882053
381,6343450403,Dustin Wood,3,3802116611
382,5644959502,Anne Cruz,7,3951001458
383,7050935491,Dana Jenkins,9,6989371316
384,9168168647,Darren Garcia,3,2335292285
385,4516153107,Judy Wilcox,0,8719963682
386,6510023683,David Schneider,9,8865407645
387,6691619903,Sarah Hughes,4,3350479522
388,6493207698,Robin Munoz,1,5429176625
389,8021180765,Mary Rodriguez,3,1584205921
390,4738439554,Laura Glover,0,1756837668
391,6681546365,Dr. Bradley Johnson,8,8692254406
392,3663035479,Laura Flynn MD,1,1820008792
393,8538759547,Stephen Bautista,5,4592152883
394,2874655796,Mr. Brian Valdez,4,8389538673
395,3574618240,Paul Williams,4,3184846457
396,5815476655,Dr. Alexis Bennett,4,5631929967
397,5060996541,Brittany Munoz,9,6361840755
398,1722199509,Paul Carroll,9,7146915997
399,3084754041,James Whitney,4,6432628040
400,6666987546,Robert Smith,5,8236473795
401,3722733009,Cassandra White,3,8362928472
402,3055488161,Michael Williams,8,0555492441
403,9143580400,Gail Mcbride,8,7119548352
404,3990031711,Andrew Carr,2,5510599189
405,5094482087,Danielle Jackson,4,9157104884
406,9804819748,Rebecca Barron,7,4841242959
407,0680809056,Karen Roberson,3,4939035018
408,4325308220,William Hood,5,1676240150
409,2704378453,Drew Miller,2,4741710392
410,4671013079,Gerald Kennedy,7,4957216707
411,6275026883,Bethany Mcpherson,2,8245180962
412,0910717210,Michael Gutierrez,4,3808588606
413,9158454303,Michael Martinez,9,9428426365
414,5333144104,Randy Bennett,9,0146200650
415,8404768692,Randy Nguyen,5,2532536807
416,1745074566,Ms. Emily May,9,4107303745
417,9046542904,David Massey,0,8759520880
418,7645617936,Donald Frederick,9,0649303850
419,1827690452,Marc Smith,2,1871395239
420,8153605729,Jimmy Lutz,9,9523694227
421,0027072850,Katrina Cook,9,2290891588
422,2235200838,Johnny Hammond,7,5446544391
423,8635344760,Aaron Montes,3,9112109965
424,2987199832,Sherry Davis,1,0501457766
425,2658123971,Kelly Thomas,0,3458689656
426,1930507062,James Morrison,4,1169699532
427,3979693447,Ronald Blankenship,7,0876014834
428,6753473939,Jeremy Wilson PhD,8,1417066762
429,1916044631,Timothy Stewart,6,7258278699
430,6861206502,Rose Gaines,0,8353593028
431,9775809164,Andrew English,1,1177717607
432,8533654176,Roger Hines,2,9387664732
433,9631917905,Kathy Long,1,8998000281
434,7047470252,Justin Davis,1,3357787625
435,9483475003,Brittany Vega,4,4596772162
436,3950458318,Shaun Harris,3,7549428274
437,5334253470,Dr. Thomas Richardson,2,2657435061
438,6351781426,James Smith,1,3023370419
439,0130221752,Darrell Le,8,0065272310
440,1508849342,Mary Marshall,0,5490506245
441,3135990586,Matthew Terry,5,8523866041
442,5162570969,Kenneth Lozano,5,5703859471
443,5471555739,Frank Allen,1,4480262318
444,3137619300,Robert Todd,1,1787185951
445,7940988585,Scott Barker,0,8667759087
446,6712240363,Jenna Singh,5,9141014225
447,3595907111,Nicole Hoover,5,4850397543
448,3438754436,Jeffrey Chavez,5,2603526243
449,5414735908,Kimberly Thomas,0,8063157993
450,3886436594,Anthony Hill,9,5387339207
451,2119107327,Jay Tran,1,5337992201
452,7215611067,Dr. Victoria Carlson,7,3192491366
453,4632766322,Michael Freeman,3,5266278429
454,6431271298,Wendy Wilson,7,5799093490
455,3610714504,Vanessa Lynch,5,5487713519
456,2498193320,Brittany Murillo,0,7116469814
457,5310875595,Kevin Dunn,9,7649708641
458,7478503483,Adrian Arroyo II,5,9877169627
459,7912539181,David Adkins,8,0778649870
460,6372805282,Barbara Cunningham,1,9555985702
461,0201871004,Lucas Perez,2,6464060635
462,8663946377,Steven Williams,6,1672677299
463,6166052312,Brian Miller,6,8893170538
464,2717038778,Melissa Gibson,8,7523201269
465,5283698489,Brian Nguyen,6,2324246405
466,7085336925,Cheryl Hanson,1,1875785886
467,1862404205,Richard Simpson,0,9878672861
468,9081050081,Deborah Brown,3,8848836553
469,4483840994,Jeffrey Aguilar,7,2454406184
470,2444598256,Timothy Stevenson,7,3553178396
471,3816502791,Suzanne Gray,7,2991156502
472,4467548535,Marc Marks,6,4962315107
473,2994088761,William Morris,4,7938429265
474,6590026509,Crystal Morgan,2,8262692562
475,9458038089,Stephen Hopkins,6,7720404060
476,6411411350,Patrick Castillo,8,0970683436
477,7351453665,Harold Villarreal,2,3900096175
478,3837025231,Dana Gonzales,9,4691753467
479,4532940221,Eileen Buck,9,3345520753
480,0265472473,Nancy Gonzalez,9,4355995452
481,2383039646,David Harris,4,0941336643
482,0608052220,Angelica Taylor,3,3358178072
483,2532499205,Zachary Oliver,3,8411214768
484,2336428517,Leslie Webster,3,3080792120
485,0561865425,Michael Sims,4,3649166146
486,6649456200,Charlene Nichols,7,3658181090
487,0150868756,Jeffrey Smith,1,6421754620
488,0769828922,Alexis Mack,0,8773935308
489,3133766088,Nicholas Newman,1,4703700759
490,8098004086,Megan Butler,2,4302766226
491,7885587723,Travis Moore,2,5719699201
492,9565853750,Andrea Morrison,3,7996062811
493,2631473294,Christina Freeman,3,7338087414
494,3622580821,Jacob Williams,4,2838393441
495,1502255257,Thomas James,2,2971094864
496,2363162192,Jessica Johnson,8,6800604385
497,0982893982,Robert Wolfe,7,4946045102
498,5850511324,Alice Cox,8,6725217482
499,7694379719,Natalie Martin,9,5166980348
500,4259645955,Carmen Harris,8,8280735051
501,8896602520,Alexis Brown,3,0649461998
502,2753247859,Kristie Stewart,0,5076751527
503,2726546433,Jade Forbes,6,7876537097
504,6624442311,Mariah Dixon,6,4065956010
505,3163487877,Jeffery Rice,7,7017206805
506,4244831362,Nicholas Gould,2,2268764126
507,2490436091,Daisy Singh,1,6119944605
508,4821419741,Justin Arnold,4,1598979740
509,1043859329,Rachel Novak,5,9007040628
510,7759662810,Jason Sheppard,7,7160482943
511,0068617916,Sarah Huang,0,0865514225
512,5270885194,Donna Hammond,7,0386741861
513,5746636648,Katelyn Sanchez,2,8266662311
514,7565350814,Veronica Martinez,2,6873888315
515,0372327628,Lisa Smith,4,7467819888
516,2818024170,Susan George,1,4963525276
517,5422764109,Wayne Mcclure,9,9144574304
518,0824658667,Carolyn Reed,1,9124963438
519,7448793822,Michael Jones,6,0303233806
520,3935142354,Julie Gates,8,3558378062
521,5436442915,Mckenzie Macias,4,9054208509
522,5878114607,Annette Bryant,2,9379051497
523,7092146484,Raymond Bolton,7,7763908710
524,4036633198,Krista Bruce,6,9620515751
525,0326564246,Mr. Robert Lloyd,0,5955701456
526,2311653808,Stephanie Powers,2,8488891652
527,6306035739,Haley Bradshaw MD,9,7883992910
528,4202906800,Brad Miller,9,1692040544
529,8908268181,Shelly Jackson,9,4295428423
530,1922816396,Dustin Sampson,2,8161905502
531,7935242141,Steven Terry,9,1684185459
532,2936364284,Jane Madden,3,7609555592
533,6580116309,Diane Sexton,4,9996306089
534,9250470674,Traci Gutierrez,1,0336363171
535,9493689830,Jacob Mcdowell,8,2746498183
536,2663273596,Sherry Mason,0,3597187425
537,2290691021,Paul Hughes,9,0745626319
538,2137480908,Kimberly Mckenzie,2,4464492426
539,6921169328,Darrell Larsen,9,6827345092
540,8651609420,Emily Freeman,5,4647983112
541,3465280333,Karen Lee,9,8999132624
542,9683697557,Mr. Steven Casey,9,8932052415
543,3584114808,Brian Benton,5,7357923988
544,3329615234,Elizabeth Reed DDS,8,0267868138
545,1622459932,Ronald Evans,4,0056702250
546,6379093939,Amber Richardson,3,8033528451
547,5956582368,Thomas Bell,8,8899016769
548,3977238243,Lauren Nelson,4,7567096911
549,6314948062,Logan Arnold,4,2997004863
550,4230047684,Jeanette Cannon,1,3742477147
551,4214817148,Jason Atkinson,5,5282594076
552,7854394224,Scott Johnson,9,8467349805
553,3283274924,Marcus Garza,2,9975842976
554,2447473815,David Hill,3,5044755897
555,8157104527,Amber Hancock,7,5325582991
556,9359708728,Kimberly Weber,3,5043477479
557,1733156481,Ashley Cooper,0,6854231825
558,3102890101,Steven Hopkins,4,5062478536
559,2091844634,Austin Ford,4,3273050153
560,8544547122,Collin Pruitt,0,0341527259
561,4737326803,John Ali,8,7318911046
562,8618587656,Gregory Gordon,2,2441885057
563,7176623104,Michael Villa,8,9022845079
564,9332891730,Ryan Cross,2,7075472114
565,6836713339,Christopher Burton,1,0586013297
566,4133493953,Michael Vega,2,3355272751
567,4290991598,Jason Mason,0,8431772240
568,6563317705,Ralph Mays,9,5775773664
569,3312358163,Jennifer Ho,3,7637230139
570,3107783867,Felicia Reid,8,6387059302
571,9669584250,Alexis Nunez,1,1912173905
572,3668554984,Kaitlyn Bell,0,8922578842
573,0845248362,Allen Dawson,7,9815412460
574,6366949967,Whitney Savage,4,4649185737
575,2265901752,Crystal Lewis,8,7029010184
576,3044926144,Laura Porter,6,4857461367
577,4396791046,Darren Turner,3,0951073384
578,3111643868,Kari Davis,7,4633729747
579,8888228871,Gregory Young,6,1080611992
580,4972909774,Tina Sandoval,9,4531222032
581,0663859526,Kimberly King,0,7544157729
582,5948360501,Lawrence Wood,7,8351064484
583,8142722531,Michael Chen,0,6214068044
584,5633252914,William Andrade,5,9918225143
585,2935911498,John Pacheco,7,7865848718
586,0765814352,Maria Watts,8,3489119290
587,6380847777,Andrew White,3,9311185219
588,4525488878,Gregory Cowan,9,6172121135
589,9489922052,Kenneth Fisher,9,4758832304
590,2448698039,Laura Mahoney,4,5182562345
591,9112536472,Terry Jenkins,2,3199386519
592,5854611223,Brandon Carter,0,2698202341
593,8839595843,Angelica Stanley,5,2773574170
594,5742424250,Michael Gonzalez,7,7092145156
595,4843924348,Miguel Welch,1,0606677915
596,6293819956,Austin Bradshaw,7,5497170913
597,0692064749,Larry Moreno,6,3717670567
598,4654085112,Linda Perez,6,2640356136
599,7070074206,Matthew Young,4,3241362040
600,5020706335,Jessica Martin,5,7383744952
601,3200011557,Christopher Hayes,9,7048008913
602,7097340195,Erica Cervantes,5,1815744180
603,0347087180,Carol Garcia,0,7032260967
604,5807760361,Sandy Hoffman,2,4274005177
605,7736952749,Daniel Foster DVM,9,9746486373
606,3050048267,Mrs. Bianca Solomon,2,0130783106
607,6593600288,Shannon Black,8,5957246360
608,0958689841,Katherine Robinson,5,3094392611
609,6403476363,Stephen Smith,6,9046997967
610,2368808994,Michael Mann,9,4364120398
611,7983620439,Timothy Carter,1,5223883668
612,5182918256,Frank Perkins,2,6237272917
613,2891931080,Alexis George,9,4077090856
614,1833466278,Brian Stein,3,3566830004
615,9333253125,Joan Beck,3,2972474317
616,8870864979,Stephanie Woods,3,7630585040
617,2999928123,Adriana Neal,1,9765566343
618,0722143202,James Noble,2,0880522570
619,3471506504,Ryan Green,8,8813077815
620,6582900264,Cindy Spears,1,6168508491
